"Time [ms]","Steel_1008 [m_per_sec]","Steel_1008_NoEddy [m_per_sec]","SS430 [m_per_sec]"
17.4999999999999,0.298503534710421,0.40573286017894,0.376320384982243
17.5999999999999,0.304017595637929,0.414032338145685,0.38376721121671
17.6999999999999,0.309616911492457,0.422507373963832,0.391358860079038
17.7999999999999,0.315303394234194,0.431164685811852,0.399100452096691
17.8999999999999,0.321079457228453,0.440011688497438,0.406997542681161
17.9999999999999,0.326947931687578,0.449056513818862,0.415055788678292
18.0999999999999,0.332911342285351,0.458307766926552,0.423281263434002
18.1999999999999,0.338971768435457,0.467774637634097,0.431680831230552
18.2999999999999,0.345131635911604,0.47746713615029,0.440261614806883
18.3999999999999,0.3513936830182,0.48739601831421,0.449031267729999
18.4999999999999,0.357760806909335,0.497573191833485,0.457998077668076
18.5999999999999,0.364235969536822,0.508011748511919,0.467170933251411
18.6999999999999,0.370822460005372,0.518725953163678,0.476559485644967
18.7999999999999,0.377523824348502,0.529731524003466,0.486174320492284
18.8999999999999,0.384343524374285,0.541046032196897,0.496027077052858
18.9999999999999,0.391285199013948,0.552690229522622,0.506130425639308
19.0999999999999,0.398353023259821,0.564686010462573,0.51649825707464
19.1999999999999,0.405551483597733,0.577056847852099,0.527146094154571
19.2999999999999,0.412885160029036,0.58983063395855,0.538092343279824
19.3999999999999,0.420358925864592,0.603037684977032,0.549356154202031
19.4999999999999,0.427978036059306,0.616713833389697,0.560957923062521
19.5999999999999,0.435747978806595,0.630905017315078,0.572921998968615
19.6999999999999,0.443674781883407,0.645662245708593,0.585274481503876
19.7999999999999,0.451765029824482,0.661044321898444,0.598046340903026
19.8999999999999,0.460025780065025,0.677122659301859,0.611277307363317
19.9999999999999,0.468464694432139,0.693984321699637,0.625010748337139
20.0999999999999,0.47709008236667,0,0.63929613588886
20.1999999999999,0.485911211463656,0,0.654193129821596
20.2999999999999,0.494938066613321,0,0.66977425441007
20.3999999999999,0.504182976790023,0,0
20.4999999999999,0.513658548417078,0,0
20.5999999999999,0.523377822221354,0,0
20.6999999999999,0.533356255727499,0,0
20.7999999999999,0.543610397540375,0,0
20.8999999999999,0.554160916208728,0,0
20.9999999999999,0.565035234619364,0,0
21.0999999999999,0.576264006108611,0,0
21.1999999999999,0.587883307130069,0,0
21.2999999999999,0.599938688567882,0,0
21.3999999999999,0.612491370446479,0,0
21.4999999999999,0.625618218961105,0,0
21.5999999999999,0,0,0
21.6999999999999,0,0,0
21.7999999999999,0,0,0
21.8999999999999,0,0,0
21.9999999999999,0,0,0
22.0999999999999,0,0,0
22.1999999999999,0,0,0
22.2999999999999,0,0,0
22.3999999999999,0,0,0
22.4999999999999,0,0,0
22.5999999999999,0,0,0
22.6999999999999,0,0,0
22.7999999999999,0,0,0
22.8999999999999,0,0,0
22.9999999999999,0,0,0
23.0999999999999,0,0,0
23.1999999999999,0,0,0
23.2999999999999,0,0,0
23.3999999999999,0,0,0
23.4999999999999,0,0,0
23.5999999999999,0,0,0
23.6999999999999,0,0,0
23.7999999999999,0,0,0
23.8999999999999,0,0,0
23.9999999999999,0,0,0
24.0999999999999,0,0,0
24.1999999999999,0,0,0
24.2999999999999,0,0,0
24.3999999999999,0,0,0
24.4999999999999,0,0,0
24.5999999999999,0,0,0
24.6999999999999,0,0,0
24.7999999999999,0,0,0
24.8999999999999,0,0,0
24.9999999999999,0,0,0
25.0999999999999,0,0,0
25.1999999999999,0,0,0
25.2999999999999,0,0,0
25.3999999999999,0,0,0
25.4999999999999,0,0,0
25.5999999999999,0,0,0
25.6999999999999,0,0,0
25.7999999999999,0,0,0
25.8999999999999,0,0,0
25.9999999999999,0,0,0
26.0999999999999,0,0,0
26.1999999999999,0,0,0
26.2999999999999,0,0,0
26.3999999999999,0,0,0
26.4999999999999,0,0,0
26.5999999999999,0,0,0
26.6999999999999,0,0,0
26.7999999999999,0,0,0
26.8999999999999,0,0,0
26.9999999999999,0,0,0
27.0999999999999,0,0,0
27.1999999999999,0,0,0
27.2999999999999,0,0,0
27.3999999999999,0,0,0
27.4999999999999,0,0,0
27.5999999999999,0,0,0
27.6999999999999,0,0,0
27.7999999999999,0,0,0
27.8999999999999,0,0,0
27.9999999999999,0,0,0
28.0999999999999,0,0,0
28.1999999999999,0,0,0
28.2999999999999,0,0,0
28.3999999999999,0,0,0
28.4999999999999,0,0,0
28.5999999999999,0,0,0
28.6999999999999,0,0,0
28.7999999999999,0,0,0
28.8999999999999,0,0,0
28.9999999999999,0,0,0
29.0999999999999,0,0,0
29.1999999999999,0,0,0
29.2999999999999,0,0,0
29.3999999999999,0,0,0
29.4999999999999,0,0,0
29.5999999999999,0,0,0
29.6999999999999,0,0,0
29.7999999999999,0,0,0
29.8999999999999,0,0,0
29.9999999999999,0,0,0
30.0999999999999,0,0,0
30.1999999999999,0,0,0
30.2999999999999,0,0,0
30.3999999999999,0,0,0
30.4999999999999,0,0,0
30.5999999999999,0,0,0
30.6999999999999,0,0,0
30.7999999999999,0,0,0
30.8999999999999,0,0,0
30.9999999999999,0,0,0
31.0999999999999,0,0,0
31.1999999999999,0,0,0
31.2999999999999,0,0,0
31.3999999999999,0,0,0
31.4999999999999,0,0,0
31.5999999999999,0,0,0
31.6999999999999,0,0,0
31.7999999999999,0,0,0
31.8999999999999,0,0,0
31.9999999999999,0,0,0
32.0999999999999,0,0,0
32.1999999999999,0,0,0
32.2999999999999,0,0,0
32.3999999999999,0,0,0
32.4999999999999,0,0,0
32.5999999999999,0,0,0
32.6999999999999,0,0,0
32.7999999999999,0,0,0
32.8999999999999,0,0,0
32.9999999999999,0,0,0
33.0999999999999,0,0,0
33.1999999999999,0,0,0
33.2999999999999,0,0,0
33.3999999999999,0,0,0
33.4999999999999,0,0,0
33.5999999999999,0,0,0
33.6999999999999,0,0,0
33.7999999999999,0,0,0
33.8999999999999,0,0,0
33.9999999999999,0,0,0
34.0999999999999,0,0,0
34.2,0,0,0
34.3,0,0,0
34.4,0,0,0
34.5,0,0,0
34.6,0,0,0
34.7,0,0,0
34.8,0,0,0
34.9,0,0,0
35,0,0,0
35.1,0,0,0
35.2,0,0,0
35.3,0,0,0
35.4,0,0,0
35.5,0,0,0
35.6,0,0,0
35.7,0,0,0
35.8,0,0,0
35.9,0,0,0
36,0,0,0
36.1,0,0,0
36.2,0,0,0
36.3,0,0,0
36.4,0,0,0
36.5,0,0,0
36.6,0,0,0
36.7,0,0,0
36.8,0,0,0
36.9,0,0,0
37,0,0,0
37.1,0,0,0
37.2,0,0,0
37.3,0,0,0
37.4,0,0,0
37.5,0,0,0
37.6000000000001,0,0,0
37.7000000000001,0,0,0
37.8000000000001,0,0,0
37.9000000000001,0,0,0
38.0000000000001,0,0,0
38.1000000000001,0,0,0
38.2000000000001,0,0,0
38.3000000000001,0,0,0
38.4000000000001,0,0,0
38.5000000000001,0,0,0
38.6000000000001,0,0,0
38.7000000000001,0,0,0
38.8000000000001,0,0,0
38.9000000000001,0,0,0
39.0000000000001,0,0,0
39.1000000000001,0,0,0
39.2000000000001,0,0,0
39.3000000000001,0,0,0
39.4000000000001,0,0,0
39.5000000000001,0,0,0
39.6000000000001,0,0,0
39.7000000000001,0,0,0
39.8000000000001,0,0,0
39.9000000000001,0,0,0
40,0,0,0
